target_id,outer_fold,method,selected_k,adaptive_k,selected_receptor_ids,test_bedroc_alpha_20,test_roc_auc,test_pr_auc_average_precision,test_EF1%,test_EF5%,test_EF10%
BACE1,5,greedy,1,1,2QMF,0.6916360676870922,0.6740451388888888,0.5077501591669878,5.0,4.166666666666667,2.5
BACE1,5,single,1,1,2QMF,0.6916360676870922,0.6740451388888888,0.5077501591669878,5.0,4.166666666666667,2.5
ESR1,1,qubo,1,1,2JF9,0.6692900466542457,0.8530815972222222,0.6072993891937508,5.0,2.5,3.333333333333333
ESR1,1,linear,1,1,2JF9,0.6692900466542457,0.8530815972222222,0.6072993891937508,5.0,2.5,3.333333333333333
ESR1,1,greedy,1,1,2JF9,0.6692900466542457,0.8530815972222222,0.6072993891937508,5.0,2.5,3.333333333333333
ESR1,1,single,1,1,2JF9,0.6692900466542457,0.8530815972222222,0.6072993891937508,5.0,2.5,3.333333333333333
ESR1,2,qubo,1,1,2JF9,0.8991133770505579,0.8728298611111112,0.7484319128183922,5.0,5.0,4.166666666666667
ESR1,2,linear,1,1,2JF9,0.8991133770505579,0.8728298611111112,0.7484319128183922,5.0,5.0,4.166666666666667
ESR1,2,greedy,1,1,2JF9,0.8991133770505579,0.8728298611111112,0.7484319128183922,5.0,5.0,4.166666666666667
ESR1,2,single,1,1,2JF9,0.8991133770505579,0.8728298611111112,0.7484319128183922,5.0,5.0,4.166666666666667
ESR1,3,qubo,1,1,2JF9,0.8290180143010766,0.8259548611111112,0.6635246619183774,5.0,5.0,3.333333333333333
ESR1,3,linear,1,1,2JF9,0.8290180143010766,0.8259548611111112,0.6635246619183774,5.0,5.0,3.333333333333333
ESR1,3,greedy,1,1,2JF9,0.8290180143010766,0.8259548611111112,0.6635246619183774,5.0,5.0,3.333333333333333
ESR1,3,single,1,1,2JF9,0.8290180143010766,0.8259548611111112,0.6635246619183774,5.0,5.0,3.333333333333333
ESR1,4,qubo,2,2,1SJ0+2JF9,0.9495440938457311,0.9014756944444444,0.8212011219994607,5.0,5.0,5.0
ESR1,4,linear,2,2,1SJ0+2JF9,0.9495440938457311,0.9014756944444444,0.8212011219994607,5.0,5.0,5.0
ESR1,4,greedy,2,2,1SJ0+2JF9,0.9495440938457311,0.9014756944444444,0.8212011219994607,5.0,5.0,5.0
ESR1,4,single,1,2,1SJ0,0.8539753481385142,0.8585069444444444,0.6929824502286787,5.0,5.0,4.166666666666667
ESR1,5,qubo,2,2,1SJ0+2JF9,0.7665830707879484,0.7578125,0.570999391148962,5.0,5.0,3.333333333333333
ESR1,5,linear,2,2,1SJ0+2JF9,0.7665830707879484,0.7578125,0.570999391148962,5.0,5.0,3.333333333333333
ESR1,5,greedy,2,2,1SJ0+2JF9,0.7665830707879484,0.7578125,0.570999391148962,5.0,5.0,3.333333333333333
ESR1,5,single,1,2,1SJ0,0.6815898012766294,0.7493489583333334,0.5169917803611569,5.0,4.166666666666667,2.9166666666666665
PPARA,1,qubo,4,4,2NPA+2P54+3KDU+4BCR,0.9778618455585399,0.9943576388888888,0.9703021875190486,5.0,5.0,4.583333333333333
