target_id,comparison,metric,mean_delta,worst_fold_delta,best_fold_delta,positive_fold_fraction,fold_deltas
PPARA,qubo_minus_linear,pr_auc_average_precision,-0.004176687723894434,-0.020883438619472172,0.0,0.0,0.000000|0.000000|0.000000|-0.020883|0.000000
PPARA,qubo_minus_linear,EF1%,-0.5,-2.5,0.0,0.0,0.000000|0.000000|0.000000|-2.500000|0.000000
PPARA,qubo_minus_linear,EF5%,0.0,0.0,0.0,0.0,0.000000|0.000000|0.000000|0.000000|0.000000
PPARA,qubo_minus_linear,EF10%,0.0,0.0,0.0,0.0,0.000000|0.000000|0.000000|0.000000|0.000000
PPARA,qubo_minus_greedy,bedroc_alpha_20,-0.01577120318758025,-0.07885601593790126,0.0,0.0,0.000000|0.000000|-0.078856|0.000000|0.000000
PPARA,qubo_minus_greedy,roc_auc,-0.0004340277777777901,-0.0021701388888889506,0.0,0.0,0.000000|0.000000|-0.002170|0.000000|0.000000
PPARA,qubo_minus_greedy,pr_auc_average_precision,-0.0061406347184585815,-0.03070317359229291,0.0,0.0,0.000000|0.000000|-0.030703|0.000000|0.000000
PPARA,qubo_minus_greedy,EF1%,-0.5,-2.5,0.0,0.0,0.000000|0.000000|-2.500000|0.000000|0.000000
PPARA,qubo_minus_greedy,EF5%,0.0,0.0,0.0,0.0,0.000000|0.000000|0.000000|0.000000|0.000000
PPARA,qubo_minus_greedy,EF10%,0.0,0.0,0.0,0.0,0.000000|0.000000|0.000000|0.000000|0.000000
PPARG,qubo_minus_single,bedroc_alpha_20,0.05416696987898616,-7.997195585007777e-05,0.2709148213507809,0.2,0.000000|0.000000|-0.000080|0.270915|0.000000
PPARG,qubo_minus_single,roc_auc,0.005078125,0.0,0.01519097222222221,0.4,0.000000|0.000000|0.010200|0.015191|0.000000
PPARG,qubo_minus_single,pr_auc_average_precision,0.023786276942113427,-0.012020716060061387,0.13095210077062852,0.2,0.000000|0.000000|-0.012021|0.130952|0.000000
PPARG,qubo_minus_single,EF1%,0.5,0.0,2.5,0.2,0.000000|0.000000|0.000000|2.500000|0.000000
PPARG,qubo_minus_single,EF5%,0.33333333333333337,0.0,1.666666666666667,0.2,0.000000|0.000000|0.000000|1.666667|0.000000
PPARG,qubo_minus_single,EF10%,0.41666666666666663,0.0,1.2499999999999996,0.4,0.000000|0.000000|0.833333|1.250000|0.000000
PPARG,qubo_minus_linear,bedroc_alpha_20,0.014716272248552643,-0.044251180142718505,0.11783254138548171,0.2,0.000000|0.000000|-0.044251|0.117833|0.000000
